65,2100780,gross,523.88
65,2105915,gross,275.62
65,40757039,gross,1072.76
65,2108115,gross,44.5
65,2108115,gross,45.61
65,2108115,gross,5.56
65,2108116,gross,3.34
65,2108119,gross,1013.36
65,2108253,gross,335.02
65,2108253,gross,207.9
65,2108254,gross,161.57
65,2108254,gross,273.24
65,2108254,gross,335.85
65,2108260,gross,201.96
65,2211292,gross,111.49
65,2211293,gross,297.3
65,41992882,gross,539.46
65,2211295,gross,539.46
65,2211299,gross,310.49
65,2211300,gross,647.35
65,2211301,gross,357.24
65,2211304,gross,529.87
65,41993408,gross,296.1
65,2211306,gross,296.1
65,2211307,gross,620.98
65,2211309,gross,311.69
65,41984932,gross,656.94
65,2211311,gross,656.94
65,41954370,gross,334.47
65,2211316,gross,334.47
65,2211318,gross,2117.08
65,2211321,gross,296.1
65,2211327,gross,2694.9
65,2211328,gross,2908.29
65,2211329,gross,3900.9
65,2211330,gross,3110.89
65,2211331,gross,3600
65,2211332,gross,3707.89
65,2211333,gross,2694.9
65,2211334,gross,3120.48
65,2211335,gross,3488.51
65,2211336,gross,2602.59
65,2211337,gross,3110.89
65,2211338,gross,3796.6
65,2211339,gross,4222.17
65,2211340,gross,4067.53
65,2211341,gross,2491.11
65,2211343,gross,2666.13
65,2211344,gross,5247.15
65,2211345,gross,3697.1
65,2211346,gross,2881.92
65,2211347,gross,3981.21
65,2211348,gross,3131.27
65,2211349,gross,4067.53
65,2211350,gross,5133.26
65,2211351,gross,3934.46
65,2211352,gross,4246.15
65,41939096,gross,5567.23
65,2211353,gross,5567.23
65,2211355,gross,1239.56
65,725068,gross,378.82
65,725069,gross,445.95
65,724942,gross,406.39
65,724943,gross,478.32
65,2211374,gross,558.64
65,2211375,gross,740.86
65,2211376,gross,282.92
65,2211377,gross,321.28
65,2211378,gross,2602.59
65,2211379,gross,3110.89
65,41950975,gross,3796.6
65,2211380,gross,3796.6
65,41948431,gross,315.28
65,2211381,gross,4222.17
65,2211382,gross,3235.56
65,2211383,gross,3608.39
65,2211384,gross,4916.28
65,41935382,gross,326.07
65,2211387,gross,326.07
65,2211388,gross,668.93
65,2211389,gross,782.82
65,2211390,gross,899.1
65,2211392,gross,326.07
65,2211393,gross,567.03
65,2211394,gross,583.82
65,2211395,gross,326.07
65,42628477,gross,587.41
65,42628578,gross,511.89
65,2211397,gross,326.07
65,2211398,gross,573.03
65,2211399,gross,610.19
65,2211400,gross,568.23
65,2211401,gross,2904.69
65,2211402,gross,3934.46
65,2211403,gross,4116.68
65,2211404,gross,2602.59
65,2211405,gross,3948.85
65,2211406,gross,4116.68
65,2211407,gross,2602.59
65,2211408,gross,3948.85
65,2211409,gross,4116.68
65,2211410,gross,4024.37
65,2211411,gross,4276.12
65,2211412,gross,4024.37
65,2211413,gross,4276.12
65,41957882,gross,4024.37
65,2211414,gross,4024.37
65,2211415,gross,4276.12
